Año encuesta,Localidad,Sexo,Aseguramiento,Estrato,Casos de alteración de la salud por exposición a ruido,Casos de somnolencia diurna excesiva,Casos de alteración de sueño,Uso de audífonos,Registros
2019,Antonio Nariño,1,Contributivo (EPS),2,1,0,1,2,3
2019,Antonio Nariño,1,Contributivo (EPS),3,4,2,9,4,24
2019,Antonio Nariño,1,Ninguno,2,0,0,0,0,1
2019,Antonio Nariño,1,Ninguno,3,0,0,1,1,5
2019,Antonio Nariño,1,Régimen excepcional,3,1,1,2,0,3
2019,Antonio Nariño,1,Subsidiado (EPSS),2,0,0,0,0,1
2019,Antonio Nariño,1,Subsidiado (EPSS),3,1,0,2,1,8
2019,Antonio Nariño,2,Contributivo (EPS),2,1,1,2,2,8
2019,Antonio Nariño,2,Contributivo (EPS),3,10,4,33,15,68
2019,Antonio Nariño,2,Ninguno,2,0,0,1,0,2
2019,Antonio Nariño,2,Ninguno,3,0,1,7,2,12
2019,Antonio Nariño,2,Régimen excepcional,3,2,0,4,4,6
2019,Antonio Nariño,2,Subsidiado (EPSS),2,1,1,4,2,7
2019,Antonio Nariño,2,Subsidiado (EPSS),3,2,1,6,5,25
2019,Barrios Unidos,1,Contributivo (EPS),3,20,5,12,15,34
2019,Barrios Unidos,1,Contributivo (EPS),4,4,0,2,1,5
2019,Barrios Unidos,1,Ninguno,3,2,1,1,0,3
2019,Barrios Unidos,1,Régimen excepcional,3,1,0,0,0,1
2019,Barrios Unidos,1,Régimen excepcional,4,0,0,0,1,2
2019,Barrios Unidos,1,Subsidiado (EPSS),3,5,4,3,5,14
2019,Barrios Unidos,1,Subsidiado (EPSS),4,0,0,1,0,1
2019,Barrios Unidos,2,Contributivo (EPS),2,0,1,0,0,1
2019,Barrios Unidos,2,Contributivo (EPS),3,45,26,38,20,68
2019,Barrios Unidos,2,Contributivo (EPS),4,10,3,9,3,13
2019,Barrios Unidos,2,Ninguno,3,3,1,5,4,5
2019,Barrios Unidos,2,Régimen excepcional,3,3,1,1,0,3
2019,Barrios Unidos,2,Régimen excepcional,4,1,0,0,0,1
2019,Barrios Unidos,2,Subsidiado (EPSS),3,15,3,11,4,26
2019,Barrios Unidos,2,Subsidiado (EPSS),4,1,1,2,1,2
2019,Bosa,1,Contributivo (EPS),2,1,0,7,7,28
2019,Bosa,1,Contributivo (EPS),3,0,0,0,0,1
2019,Bosa,1,Ninguno,2,0,1,3,4,6
2019,Bosa,1,Régimen excepcional,2,0,0,1,0,1
2019,Bosa,1,Subsidiado (EPSS),2,5,1,6,6,21
2019,Bosa,2,Contributivo (EPS),2,10,4,26,12,60
2019,Bosa,2,Contributivo (EPS),3,0,0,0,1,3
2019,Bosa,2,Ninguno,2,0,0,0,2,2
2019,Bosa,2,Ninguno,3,0,0,0,0,1
2019,Bosa,2,Subsidiado (EPSS),2,13,3,23,6,46
2019,Bosa,2,Subsidiado (EPSS),3,0,0,0,1,2
2019,Candelaria,1,Contributivo (EPS),2,6,3,5,11,18
2019,Candelaria,1,Contributivo (EPS),3,2,1,0,4,7
2019,Candelaria,1,Ninguno,2,1,1,2,1,4
2019,Candelaria,1,Ninguno,3,1,0,0,1,1
2019,Candelaria,1,Régimen excepcional,2,0,0,0,1,1
2019,Candelaria,1,Régimen excepcional,3,1,0,0,1,1
2019,Candelaria,1,Subsidiado (EPSS),1,0,1,0,0,1
2019,Candelaria,1,Subsidiado (EPSS),2,5,2,6,10,21
2019,Candelaria,1,Subsidiado (EPSS),3,1,0,1,1,2
2019,Candelaria,2,Contributivo (EPS),1,0,0,1,0,1
2019,Candelaria,2,Contributivo (EPS),2,9,2,5,8,29
2019,Candelaria,2,Contributivo (EPS),3,3,2,3,4,19
2019,Candelaria,2,Ninguno,2,4,1,4,6,11
2019,Candelaria,2,Régimen excepcional,2,0,0,0,0,1
2019,Candelaria,2,Subsidiado (EPSS),2,10,4,10,8,33
2019,Candelaria,2,Subsidiado (EPSS),3,2,0,3,0,3
2019,Chapinero,1,Contributivo (EPS),1,4,4,8,4,9
2019,Chapinero,1,Contributivo (EPS),2,7,2,7,6,15
2019,Chapinero,1,Contributivo (EPS),3,0,0,0,0,1
2019,Chapinero,1,Ninguno,1,0,0,0,0,1
2019,Chapinero,1,Ninguno,2,2,0,5,3,7
2019,Chapinero,1,Régimen excepcional,1,0,0,0,0,1
2019,Chapinero,1,Subsidiado (EPSS),1,2,1,3,2,6
2019,Chapinero,1,Subsidiado (EPSS),2,0,1,3,4,6
2019,Chapinero,2,Contributivo (EPS),1,19,8,24,9,37
2019,Chapinero,2,Contributivo (EPS),2,21,12,18,8,37
2019,Chapinero,2,Contributivo (EPS),4,0,1,0,0,1
2019,Chapinero,2,Ninguno,1,2,3,4,1,4
2019,Chapinero,2,Ninguno,2,2,1,3,2,4
2019,Chapinero,2,Régimen excepcional,1,1,1,0,0,1
2019,Chapinero,2,Régimen excepcional,2,0,0,1,0,1
2019,Chapinero,2,Subsidiado (EPSS),1,2,2,3,1,4
2019,Chapinero,2,Subsidiado (EPSS),2,9,4,18,7,31
2019,Ciudad Bolívar,1,Contributivo (EPS),1,1,1,1,0,5
2019,Ciudad Bolívar,1,Contributivo (EPS),2,5,2,4,4,22
2019,Ciudad Bolívar,1,Contributivo (EPS),3,0,0,0,0,1
2019,Ciudad Bolívar,1,Ninguno,1,0,1,0,0,1
2019,Ciudad Bolívar,1,Ninguno,2,0,0,0,0,5
2019,Ciudad Bolívar,1,Régimen excepcional,2,1,0,0,0,1
2019,Ciudad Bolívar,1,Subsidiado (EPSS),1,4,2,2,0,7
2019,Ciudad Bolívar,1,Subsidiado (EPSS),2,6,0,5,3,15
2019,Ciudad Bolívar,2,Contributivo (EPS),1,13,4,11,5,26
2019,Ciudad Bolívar,2,Contributivo (EPS),2,21,10,26,13,57
2019,Ciudad Bolívar,2,Ninguno,1,1,0,0,1,2
2019,Ciudad Bolívar,2,Ninguno,2,0,2,0,1,6
2019,Ciudad Bolívar,2,Régimen excepcional,1,0,0,0,0,1
2019,Ciudad Bolívar,2,Régimen excepcional,2,1,0,0,0,2
2019,Ciudad Bolívar,2,Subsidiado (EPSS),1,7,3,9,3,24
2019,Ciudad Bolívar,2,Subsidiado (EPSS),2,8,1,8,5,25
2019,Engativá,1,Contributivo (EPS),3,19,12,17,18,42
2019,Engativá,1,Régimen excepcional,3,1,0,2,1,3
2019,Engativá,1,Subsidiado (EPSS),3,2,0,3,0,5
2019,Engativá,2,Contributivo (EPS),2,5,1,1,4,11
2019,Engativá,2,Contributivo (EPS),3,39,21,30,20,70
2019,Engativá,2,Ninguno,2,0,0,1,0,1
2019,Engativá,2,Ninguno,3,2,1,0,2,4
2019,Engativá,2,Régimen excepcional,3,1,0,1,1,2
2019,Engativá,2,Subsidiado (EPSS),2,0,0,0,0,4
2019,Engativá,2,Subsidiado (EPSS),3,8,7,15,4,26
2019,Fontibón,1,Contributivo (EPS),2,5,2,9,3,13
2019,Fontibón,1,Contributivo (EPS),3,13,6,14,8,27
2019,Fontibón,1,Contributivo (EPS),4,2,0,1,2,4
2019,Fontibón,1,Contributivo (EPS),5,1,0,0,0,1
2019,Fontibón,1,Ninguno,2,1,2,1,3,4
2019,Fontibón,1,Ninguno,3,1,0,0,2,2
2019,Fontibón,1,Régimen excepcional,2,0,0,0,1,1
2019,Fontibón,1,Régimen excepcional,3,1,0,1,0,1
2019,Fontibón,1,Subsidiado (EPSS),2,1,0,1,1,2
2019,Fontibón,1,Subsidiado (EPSS),3,7,2,8,1,10
2019,Fontibón,2,Contributivo (EPS),2,5,3,7,5,22
2019,Fontibón,2,Contributivo (EPS),3,21,7,25,9,45
2019,Fontibón,2,Contributivo (EPS),4,3,2,5,2,9
2019,Fontibón,2,Contributivo (EPS),5,2,0,0,0,3
2019,Fontibón,2,Ninguno,3,2,0,1,2,6
2019,Fontibón,2,Régimen excepcional,4,0,0,0,0,1
2019,Fontibón,2,Subsidiado (EPSS),2,2,0,4,1,5
2019,Fontibón,2,Subsidiado (EPSS),3,4,3,10,5,17
2019,Fontibón,2,Subsidiado (EPSS),4,0,0,0,0,1
2019,Kennedy,1,Contributivo (EPS),2,1,2,6,1,9
2019,Kennedy,1,Contributivo (EPS),3,3,2,4,5,18
2019,Kennedy,1,Contributivo (EPS),4,0,0,1,4,5
2019,Kennedy,1,Ninguno,2,1,0,1,1,3
2019,Kennedy,1,Ninguno,3,0,0,0,1,1
2019,Kennedy,1,Régimen excepcional,2,0,0,0,0,1
2019,Kennedy,1,Régimen excepcional,3,0,0,1,2,2
2019,Kennedy,1,Subsidiado (EPSS),2,1,0,2,2,8
2019,Kennedy,1,Subsidiado (EPSS),3,1,1,3,2,5
2019,Kennedy,1,Subsidiado (EPSS),4,0,1,1,0,1
2019,Kennedy,2,Contributivo (EPS),2,12,5,17,8,39
2019,Kennedy,2,Contributivo (EPS),3,11,9,23,5,40
2019,Kennedy,2,Contributivo (EPS),4,0,2,1,1,3
2019,Kennedy,2,Ninguno,2,0,0,0,0,2
2019,Kennedy,2,Ninguno,3,3,0,3,5,7
2019,Kennedy,2,Régimen excepcional,2,2,0,3,0,3
2019,Kennedy,2,Régimen excepcional,3,0,0,0,0,1
2019,Kennedy,2,Régimen excepcional,4,0,0,1,0,1
2019,Kennedy,2,Subsidiado (EPSS),2,4,4,10,1,19
2019,Kennedy,2,Subsidiado (EPSS),3,3,0,3,4,9
2019,Mártires,1,Contributivo (EPS),3,9,6,3,11,33
2019,Mártires,1,Contributivo (EPS),4,1,1,2,3,4
2019,Mártires,1,Ninguno,3,2,0,1,3,7
2019,Mártires,1,Subsidiado (EPSS),3,4,0,1,4,13
2019,Mártires,2,Contributivo (EPS),3,22,4,14,10,55
2019,Mártires,2,Contributivo (EPS),4,5,2,4,8,15
2019,Mártires,2,Ninguno,3,5,1,5,4,12
2019,Mártires,2,Ninguno,4,1,0,1,1,1
2019,Mártires,2,Régimen excepcional,3,4,0,2,0,4
2019,Mártires,2,Régimen excepcional,4,0,0,0,1,1
2019,Mártires,2,Subsidiado (EPSS),3,11,1,6,8,21
2019,Puente Aranda,1,Contributivo (EPS),3,7,6,12,8,28
2019,Puente Aranda,1,Ninguno,3,0,0,1,2,6
2019,Puente Aranda,1,Subsidiado (EPSS),3,4,1,6,6,14
2019,Puente Aranda,2,Contributivo (EPS),3,30,12,48,16,77
2019,Puente Aranda,2,Ninguno,3,4,1,5,2,11
2019,Puente Aranda,2,Régimen excepcional,3,1,0,3,1,4
2019,Puente Aranda,2,Subsidiado (EPSS),3,13,4,16,5,30
2019,Rafael Uribe,1,Contributivo (EPS),2,2,1,6,3,12
2019,Rafael Uribe,1,Contributivo (EPS),3,0,1,2,5,10
2019,Rafael Uribe,1,Ninguno,2,0,0,1,1,2
2019,Rafael Uribe,1,Ninguno,3,0,0,3,2,3
2019,Rafael Uribe,1,Régimen excepcional,3,0,0,1,0,1
2019,Rafael Uribe,1,Subsidiado (EPSS),2,2,1,6,3,10
2019,Rafael Uribe,1,Subsidiado (EPSS),3,1,0,0,0,4
2019,Rafael Uribe,2,Contributivo (EPS),2,18,8,32,11,51
2019,Rafael Uribe,2,Contributivo (EPS),3,5,1,10,5,24
2019,Rafael Uribe,2,Ninguno,2,2,1,2,4,10
2019,Rafael Uribe,2,Ninguno,3,1,1,3,4,7
2019,Rafael Uribe,2,Régimen excepcional,2,0,1,2,0,4
2019,Rafael Uribe,2,Régimen excepcional,3,2,1,2,2,4
2019,Rafael Uribe,2,Subsidiado (EPSS),2,13,3,12,2,25
2019,Rafael Uribe,2,Subsidiado (EPSS),3,5,1,6,1,16
2019,San Cristóbal,1,Contributivo (EPS),2,6,3,6,10,30
2019,San Cristóbal,1,Contributivo (EPS),3,2,1,1,6,10
2019,San Cristóbal,1,Ninguno,2,0,1,0,2,5
2019,San Cristóbal,1,Ninguno,3,0,0,1,2,3
2019,San Cristóbal,1,Régimen excepcional,2,0,1,0,0,1
2019,San Cristóbal,1,Régimen excepcional,3,2,0,1,0,2
2019,San Cristóbal,1,Subsidiado (EPSS),1,0,0,0,0,1
2019,San Cristóbal,1,Subsidiado (EPSS),2,2,0,5,0,10
2019,San Cristóbal,1,Subsidiado (EPSS),3,1,1,1,1,7
2019,San Cristóbal,2,Contributivo (EPS),1,0,0,0,0,2
2019,San Cristóbal,2,Contributivo (EPS),2,12,5,18,5,38
2019,San Cristóbal,2,Contributivo (EPS),3,3,2,4,3,15
2019,San Cristóbal,2,Ninguno,1,0,0,0,0,1
2019,San Cristóbal,2,Ninguno,2,4,3,4,2,11
2019,San Cristóbal,2,Ninguno,3,1,0,0,1,1
2019,San Cristóbal,2,Subsidiado (EPSS),1,0,0,0,0,1
2019,San Cristóbal,2,Subsidiado (EPSS),2,12,1,17,6,36
2019,San Cristóbal,2,Subsidiado (EPSS),3,5,1,3,2,8
2019,Santa Fe,1,Contributivo (EPS),2,10,2,8,11,23
2019,Santa Fe,1,Contributivo (EPS),3,2,0,3,2,7
2019,Santa Fe,1,Ninguno,1,0,0,0,0,1
2019,Santa Fe,1,Ninguno,2,1,0,1,0,7
2019,Santa Fe,1,Ninguno,3,1,0,1,1,2
2019,Santa Fe,1,Subsidiado (EPSS),2,5,1,3,3,20
2019,Santa Fe,1,Subsidiado (EPSS),3,1,0,0,0,1
2019,Santa Fe,2,Contributivo (EPS),2,5,1,13,4,40
2019,Santa Fe,2,Contributivo (EPS),3,4,1,2,5,14
2019,Santa Fe,2,Ninguno,2,2,0,2,2,6
2019,Santa Fe,2,Ninguno,3,0,0,1,0,2
2019,Santa Fe,2,Régimen excepcional,2,1,0,2,1,2
2019,Santa Fe,2,Subsidiado (EPSS),1,4,0,3,2,10
2019,Santa Fe,2,Subsidiado (EPSS),2,11,3,13,5,46
2019,Santa Fe,2,Subsidiado (EPSS),3,1,1,0,2,6
2019,Suba,1,Contributivo (EPS),2,11,8,16,13,27
2019,Suba,1,Contributivo (EPS),3,6,6,4,5,11
2019,Suba,1,Contributivo (EPS),4,1,0,0,1,2
2019,Suba,1,Ninguno,2,1,1,1,1,2
2019,Suba,1,Ninguno,3,1,0,2,1,5
2019,Suba,1,Subsidiado (EPSS),2,1,0,0,3,3
2019,Suba,2,Contributivo (EPS),2,46,22,40,21,65
2019,Suba,2,Contributivo (EPS),3,10,7,10,2,19
2019,Suba,2,Ninguno,2,5,1,4,2,6
2019,Suba,2,Ninguno,3,2,0,0,1,3
2019,Suba,2,Régimen excepcional,2,1,0,1,0,1
2019,Suba,2,Subsidiado (EPSS),2,14,6,13,5,21
2019,Suba,2,Subsidiado (EPSS),3,1,2,1,1,6
2019,Teusaquillo,1,Contributivo (EPS),3,10,6,8,5,17
2019,Teusaquillo,1,Contributivo (EPS),4,17,10,11,14,33
2019,Teusaquillo,1,Ninguno,3,1,0,1,2,3
2019,Teusaquillo,1,Ninguno,4,2,2,1,2,4
2019,Teusaquillo,1,Régimen excepcional,4,0,0,1,1,2
2019,Teusaquillo,1,Subsidiado (EPSS),2,2,0,0,4,4
2019,Teusaquillo,1,Subsidiado (EPSS),3,1,0,2,1,2
2019,Teusaquillo,1,Subsidiado (EPSS),4,1,0,1,0,1
2019,Teusaquillo,2,Contributivo (EPS),3,18,9,12,10,34
2019,Teusaquillo,2,Contributivo (EPS),4,27,13,25,12,43
2019,Teusaquillo,2,Ninguno,3,1,0,0,0,2
2019,Teusaquillo,2,Ninguno,4,1,0,1,1,2
2019,Teusaquillo,2,Régimen excepcional,3,1,0,0,0,1
2019,Teusaquillo,2,Régimen excepcional,4,2,1,1,0,3
2019,Teusaquillo,2,Subsidiado (EPSS),2,1,1,1,2,3
2019,Teusaquillo,2,Subsidiado (EPSS),3,0,0,0,1,2
2019,Teusaquillo,2,Subsidiado (EPSS),4,4,2,5,3,7
2019,Tunjuelito,1,Contributivo (EPS),2,5,1,4,2,15
2019,Tunjuelito,1,Contributivo (EPS),3,6,0,4,3,12
2019,Tunjuelito,1,Ninguno,2,2,0,1,1,3
2019,Tunjuelito,1,Ninguno,3,2,0,0,1,3
2019,Tunjuelito,1,Subsidiado (EPSS),2,5,3,4,1,15
2019,Tunjuelito,1,Subsidiado (EPSS),3,2,0,1,1,2
2019,Tunjuelito,2,Contributivo (EPS),2,15,9,25,2,49
2019,Tunjuelito,2,Contributivo (EPS),3,12,0,8,4,17
2019,Tunjuelito,2,Ninguno,2,2,1,1,0,5
2019,Tunjuelito,2,Ninguno,3,6,0,1,0,7
2019,Tunjuelito,2,Régimen excepcional,2,1,1,1,0,2
2019,Tunjuelito,2,Régimen excepcional,3,1,0,0,0,1
2019,Tunjuelito,2,Subsidiado (EPSS),2,10,6,13,5,30
2019,Tunjuelito,2,Subsidiado (EPSS),3,5,0,2,2,5
2019,Usaquén,1,Contributivo (EPS),1,0,0,1,2,2
2019,Usaquén,1,Contributivo (EPS),2,4,4,5,4,9
2019,Usaquén,1,Contributivo (EPS),3,3,3,6,3,14
2019,Usaquén,1,Contributivo (EPS),4,2,2,3,4,6
2019,Usaquén,1,Ninguno,3,1,0,1,2,2
2019,Usaquén,1,Ninguno,4,0,0,0,1,1
2019,Usaquén,1,Subsidiado (EPSS),1,1,0,1,1,2
2019,Usaquén,1,Subsidiado (EPSS),2,0,0,1,0,1
2019,Usaquén,1,Subsidiado (EPSS),3,1,0,0,1,3
2019,Usaquén,2,Contributivo (EPS),1,2,1,5,0,8
2019,Usaquén,2,Contributivo (EPS),2,10,6,12,6,22
2019,Usaquén,2,Contributivo (EPS),3,24,12,24,10,45
2019,Usaquén,2,Contributivo (EPS),4,8,4,8,3,13
2019,Usaquén,2,Ninguno,1,0,0,0,0,1
2019,Usaquén,2,Ninguno,2,1,1,2,0,4
2019,Usaquén,2,Ninguno,3,0,0,1,0,3
2019,Usaquén,2,Régimen excepcional,3,1,1,2,0,3
2019,Usaquén,2,Subsidiado (EPSS),1,2,2,4,0,4
2019,Usaquén,2,Subsidiado (EPSS),2,5,3,6,3,15
2019,Usaquén,2,Subsidiado (EPSS),3,7,3,6,0,10
2019,Usme,1,Contributivo (EPS),1,6,1,2,5,12
2019,Usme,1,Contributivo (EPS),2,3,1,1,3,11
2019,Usme,1,Ninguno,1,1,0,0,0,3
2019,Usme,1,Ninguno,2,0,0,1,1,3
2019,Usme,1,Subsidiado (EPSS),1,1,0,0,0,8
2019,Usme,1,Subsidiado (EPSS),2,4,2,4,1,6
2019,Usme,2,Contributivo (EPS),1,11,13,15,8,40
2019,Usme,2,Contributivo (EPS),2,5,6,12,0,29
2019,Usme,2,Ninguno,1,2,0,0,0,3
2019,Usme,2,Ninguno,2,0,0,1,1,2
2019,Usme,2,Régimen excepcional,1,0,0,1,0,1
2019,Usme,2,Subsidiado (EPSS),1,14,2,11,8,26
2019,Usme,2,Subsidiado (EPSS),2,15,3,10,4,23
2020,Antonio Nariño,1,Contributivo (EPS),2,0,0,0,3,3
2020,Antonio Nariño,1,Contributivo (EPS),3,3,0,2,3,7
2020,Antonio Nariño,1,Ninguno,2,1,0,0,0,1
2020,Antonio Nariño,1,Ninguno,3,1,0,0,1,1
2020,Antonio Nariño,1,Régimen excepcional,3,0,0,0,0,1
2020,Antonio Nariño,1,Subsidiado (EPSS),3,2,3,3,2,5
2020,Antonio Nariño,2,Contributivo (EPS),2,3,3,1,0,3
2020,Antonio Nariño,2,Contributivo (EPS),3,6,2,15,5,42
2020,Antonio Nariño,2,Ninguno,3,0,0,1,0,2
2020,Antonio Nariño,2,Régimen excepcional,3,1,0,1,1,4
2020,Antonio Nariño,2,Subsidiado (EPSS),2,0,0,1,0,1
2020,Antonio Nariño,2,Subsidiado (EPSS),3,2,3,5,6,19
2020,Barrios Unidos,1,Contributivo (EPS),2,0,0,0,0,1
2020,Barrios Unidos,1,Contributivo (EPS),3,1,0,1,6,13
2020,Barrios Unidos,1,Contributivo (EPS),4,1,0,0,2,3
2020,Barrios Unidos,1,Ninguno,3,0,0,0,0,1
2020,Barrios Unidos,1,Subsidiado (EPSS),3,0,0,0,0,1
2020,Barrios Unidos,2,Contributivo (EPS),2,0,0,0,0,3
2020,Barrios Unidos,2,Contributivo (EPS),3,12,6,20,18,35
2020,Barrios Unidos,2,Contributivo (EPS),4,2,0,5,3,10
2020,Barrios Unidos,2,Ninguno,3,0,0,0,0,1
2020,Barrios Unidos,2,Ninguno,4,1,0,1,1,1
2020,Barrios Unidos,2,Subsidiado (EPSS),3,3,3,2,4,15
2020,Bosa,1,Contributivo (EPS),2,1,0,4,7,21
2020,Bosa,1,Ninguno,2,0,1,2,2,3
2020,Bosa,1,Subsidiado (EPSS),2,0,0,2,1,6
2020,Bosa,2,Contributivo (EPS),2,8,0,15,16,64
2020,Bosa,2,Contributivo (EPS),3,0,0,2,1,6
2020,Bosa,2,Contributivo (EPS),4,0,0,0,0,1
2020,Bosa,2,Ninguno,2,1,0,2,3,11
2020,Bosa,2,Ninguno,3,0,0,0,0,1
2020,Bosa,2,Subsidiado (EPSS),2,3,1,9,5,36
2020,Bosa,2,Subsidiado (EPSS),3,0,0,0,0,1
2020,Candelaria,1,Contributivo (EPS),2,3,2,4,3,7
2020,Candelaria,1,Régimen excepcional,3,1,1,0,0,1
2020,Candelaria,1,Subsidiado (EPSS),2,1,0,0,0,1
2020,Candelaria,1,Subsidiado (EPSS),3,1,1,1,1,1
2020,Candelaria,2,Contributivo (EPS),2,5,3,9,8,18
2020,Candelaria,2,Contributivo (EPS),3,2,0,1,1,3
2020,Candelaria,2,Ninguno,2,1,0,0,0,1
2020,Candelaria,2,Subsidiado (EPSS),1,0,0,0,0,1
2020,Candelaria,2,Subsidiado (EPSS),2,7,0,6,7,19
2020,Candelaria,2,Subsidiado (EPSS),3,0,0,0,0,1
2020,Chapinero,1,Contributivo (EPS),1,0,0,0,0,1
2020,Chapinero,1,Contributivo (EPS),2,2,1,2,4,6
